accuracy,log_loss,fit_time,predict_time,total_time,peak_memory_mb,n_train,n_test,dataset,method_name,k,run,selection_method,selection_space,method,space,t_stage12,t_retrieval,t_stage3
0.5056063122923588,0.7742000607190027,4.379307985305786,5.4972593784332275,9.876567363739014,26257.260544,77056,19264,numerai28.6,emb_euclidean,16,4,euclidean,embedding,euclidean,embedding,1.0591371059417725,0.008344173431396484,4.28725004196167
0.5060735049833887,0.7695186002934498,4.360781669616699,7.633023977279663,11.993805646896362,26257.260544,77056,19264,numerai28.6,emb_euclidean,32,4,euclidean,embedding,euclidean,embedding,1.0593690872192383,0.007816791534423828,6.423740863800049
0.5067483388704319,0.760408062986939,4.3366944789886475,11.680874824523926,16.017569303512573,33519.10144,77056,19264,numerai28.6,emb_euclidean,64,4,euclidean,embedding,euclidean,embedding,1.0591402053833008,0.007970094680786133,10.472357749938965
0.5066445182724253,0.7359712671863662,4.337279796600342,21.81040906906128,26.14768886566162,64345.59744,77056,19264,numerai28.6,emb_euclidean,128,4,euclidean,embedding,euclidean,embedding,1.058898687362671,0.007965564727783203,20.60137367248535
0.5069040697674418,0.7730648387338123,4.563800811767578,5.26668643951416,9.830487251281738,26257.260544,77056,19264,numerai28.6,emb_cosine,16,4,cosine,embedding,cosine,embedding,1.0597245693206787,0.006508588790893555,4.058639049530029
0.5063330564784053,0.7683632467505624,4.317410469055176,7.406013250350952,11.723423719406128,26257.260544,77056,19264,numerai28.6,emb_cosine,32,4,cosine,embedding,cosine,embedding,1.0595893859863281,0.0061187744140625,6.19860315322876
0.5089804817275747,0.7596234401128595,4.3495635986328125,11.455695629119873,15.805259227752686,33520.281088,77056,19264,numerai28.6,emb_cosine,64,4,cosine,embedding,cosine,embedding,1.0585262775421143,0.005928993225097656,10.248968124389648
0.5071636212624585,0.7350923111694819,4.344682216644287,20.569804430007935,24.91448664665222,64346.777088,77056,19264,numerai28.6,emb_cosine,128,4,cosine,embedding,cosine,embedding,1.0598342418670654,0.00659489631652832,19.361099243164062
0.6180112017293898,0.8363181373379638,4.043777227401733,19.46509051322937,23.508867740631104,53565.595136,81412,20354,Diabetes130US,full_tabicl,81412,0,none,none,,,,,
0.5681438537879532,0.9391532596275909,8.781864166259766,27.033050298690796,35.81491446495056,52119.70048,81412,20354,Diabetes130US,random,16,0,random,embedding,random,embedding,1.8236231803894043,21.88740086555481,3.170480728149414
